"";"Agent";"Rounds played";"Average Combat Score";"KAST pct";"Average damage per round";"HS pct";"Kills";"Deaths";"Assists";"First Kills";"First Deaths";"Clutches Won";"Clutch Situations";"Assists per Kill";"First Kills per Kill";"Clutch Situations per Round";"Clutch Success pct";"Agent";"Rounds played";"Average Combat Score";"KAST pct";"Average damage per round";"HS pct";"Kills";"Deaths";"Assists";"First Kills";"First Deaths";"Clutches Won";"Clutch Situations";"Assists per Kill";"First Kills per Kill";"Clutch Situations per Round";"Clutch Success pct";"Agent";"Rounds played";"Average Combat Score";"KAST pct";"Average damage per round";"HS pct";"Kills";"Deaths";"Assists";"First Kills";"First Deaths";"Clutches Won";"Clutch Situations";"Assists per Kill";"First Kills per Kill";"Clutch Situations per Round";"Clutch Success pct";"Agent";"Rounds played";"Average Combat Score";"KAST pct";"Average damage per round";"HS pct";"Kills";"Deaths";"Assists";"First Kills";"First Deaths";"Clutches Won";"Clutch Situations";"Assists per Kill";"First Kills per Kill";"Clutch Situations per Round";"Clutch Success pct";"Agent";"Rounds played";"Average Combat Score";"KAST pct";"Average damage per round";"HS pct";"Kills";"Deaths";"Assists";"First Kills";"First Deaths";"Clutches Won";"Clutch Situations";"Assists per Kill";"First Kills per Kill";"Clutch Situations per Round";"Clutch Success pct";"Agent";"Rounds played";"Average Combat Score";"KAST pct";"Average damage per round";"HS pct";"Kills";"Deaths";"Assists";"First Kills";"First Deaths";"Clutches Won";"Clutch Situations";"Assists per Kill";"First Kills per Kill";"Clutch Situations per Round";"Clutch Success pct";"Agent";"Rounds played";"Average Combat Score";"KAST pct";"Average damage per round";"HS pct";"Kills";"Deaths";"Assists";"First Kills";"First Deaths";"Clutches Won";"Clutch Situations";"Assists per Kill";"First Kills per Kill";"Clutch Situations per Round";"Clutch Success pct";"Agent";"Rounds played";"Average Combat Score";"KAST pct";"Average damage per round";"HS pct";"Kills";"Deaths";"Assists";"First Kills";"First Deaths";"Clutches Won";"Clutch Situations";"Assists per Kill";"First Kills per Kill";"Clutch Situations per Round";"Clutch Success pct";"Agent";"Rounds played";"Average Combat Score";"KAST pct";"Average damage per round";"HS pct";"Kills";"Deaths";"Assists";"First Kills";"First Deaths";"Clutches Won";"Clutch Situations";"Assists per Kill";"First Kills per Kill";"Clutch Situations per Round";"Clutch Success pct";"Agent";"Rounds played";"Average Combat Score";"KAST pct";"Average damage per round";"HS pct";"Kills";"Deaths";"Assists";"First Kills";"First Deaths";"Clutches Won";"Clutch Situations";"Assists per Kill";"First Kills per Kill";"Clutch Situations per Round";"Clutch Success pct";"Agent";"Rounds played";"Average Combat Score";"KAST pct";"Average damage per round";"HS pct";"Kills";"Deaths";"Assists";"First Kills";"First Deaths";"Clutches Won";"Clutch Situations";"Assists per Kill";"First Kills per Kill";"Clutch Situations per Round";"Clutch Success pct";"Agent";"Rounds played";"Average Combat Score";"KAST pct";"Average damage per round";"HS pct";"Kills";"Deaths";"Assists";"First Kills";"First Deaths";"Clutches Won";"Clutch Situations";"Assists per Kill";"First Kills per Kill";"Clutch Situations per Round";"Clutch Success pct";"Agent";"Rounds played";"Average Combat Score";"KAST pct";"Average damage per round";"HS pct";"Kills";"Deaths";"Assists";"First Kills";"First Deaths";"Clutches Won";"Clutch Situations";"Assists per Kill";"First Kills per Kill";"Clutch Situations per Round";"Clutch Success pct";"Agent";"Rounds played";"Average Combat Score";"KAST pct";"Average damage per round";"HS pct";"Kills";"Deaths";"Assists";"First Kills";"First Deaths";"Clutches Won";"Clutch Situations";"Assists per Kill";"First Kills per Kill";"Clutch Situations per Round";"Clutch Success pct";"Agent";"Rounds played";"Average Combat Score";"KAST pct";"Average damage per round";"HS pct";"Kills";"Deaths";"Assists";"First Kills";"First Deaths";"Clutches Won";"Clutch Situations";"Assists per Kill";"First Kills per Kill";"Clutch Situations per Round";"Clutch Success pct";"Agent";"Rounds played";"Average Combat Score";"KAST pct";"Average damage per round";"HS pct";"Kills";"Deaths";"Assists";"First Kills";"First Deaths";"Clutches Won";"Clutch Situations";"Assists per Kill";"First Kills per Kill";"Clutch Situations per Round";"Clutch Success pct";"Agent";"Rounds played";"Average Combat Score";"KAST pct";"Average damage per round";"HS pct";"Kills";"Deaths";"Assists";"First Kills";"First Deaths";"Clutches Won";"Clutch Situations";"Assists per Kill";"First Kills per Kill";"Clutch Situations per Round";"Clutch Success pct";"Agent";"Rounds played";"Average Combat Score";"KAST pct";"Average damage per round";"HS pct";"Kills";"Deaths";"Assists";"First Kills";"First Deaths";"Clutches Won";"Clutch Situations";"Assists per Kill";"First Kills per Kill";"Clutch Situations per Round";"Clutch Success pct";"Agent";"Rounds played";"Average Combat Score";"KAST pct";"Average damage per round";"HS pct";"Kills";"Deaths";"Assists";"First Kills";"First Deaths";"Clutches Won";"Clutch Situations";"Assists per Kill";"First Kills per Kill";"Clutch Situations per Round";"Clutch Success pct"
"Reita";"Astra";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Breach";40;192;0,56;121,1;0,25;24;31;15;5;2;"0";"4";"0.208333333333333";"0.625";"0.1";"0";"Brimstone";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Chamber";115;222,8;0,74;145;0,17;94;74;23;13;18;"3";"15";"0.138297872340426";"0.24468085106383";"0.130434782608696";"0.2";"Cypher";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Fade";271;220,1;0,75;147;0,29;213;201;105;13;29;"6";"28";"0.0610328638497653";"0.492957746478873";"0.103321033210332";"0.214285714285714";"Jett";2002;237,2;0,73;"139.5";0,2;1657;1308;307;381;246;"17";"113";"0.229933614966807";"0.185274592637296";"0.0564435564435564";"0.150442477876106";"Kay/O";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Killjoy";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Neon";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Omen";481;223,2;0,75;137,9;0,23;384;302;103;59;44;"7";"44";"0.153645833333333";"0.268229166666667";"0.0914760914760915";"0.159090909090909";"Phoenix";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Raze";90;225,6;0,75;141,4;0,16;62;49;32;12;8;"2";"7";"0.193548387096774";"0.516129032258065";"0.0777777777777778";"0.285714285714286";"Reyna";178;215;0,68;129,8;0,24;132;115;42;25;17;"2";"9";"0.189393939393939";"0.318181818181818";"0.050561797752809";"0.222222222222222";"Sage";20;163;0,55;111,4;0,25;10;13;6;2;4;"0";"4";"0.2";"0.6";"0.2";"0";"Skye";34;141;0,71;91,4;0,21;17;27;14;0;3;"0";"0";"0";"0.823529411764706";"0";"0";"Sova";572;217,3;0,72;141,9;0,23;433;361;170;62;28;"13";"76";"0.143187066974596";"0.392609699769053";"0.132867132867133";"0.171052631578947";"Viper";146;231,4;0,71;150,8;0,31;110;102;40;18;13;"0";"23";"0.163636363636364";"0.363636363636364";"0.157534246575342";"0";"Yoru";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0"
"Seoldam";"Astra";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Breach";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Brimstone";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Chamber";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Cypher";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Fade";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Jett";1153;294,1;0,76;"166.8";0,19;1180;815;216;270;142;"13";"91";"0.228813559322034";"0.183050847457627";"0.0789245446660885";"0.142857142857143";"Kay/O";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Killjoy";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Neon";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Omen";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Phoenix";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Raze";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Reyna";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Sage";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Skye";342;233,1;0,72;137,1;0,27;277;241;104;39;35;"5";"39";"0.140794223826715";"0.375451263537906";"0.114035087719298";"0.128205128205128";"Sova";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Viper";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Yoru";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0"
"Anthem";"Astra";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Breach";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Brimstone";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Chamber";114;206;0,7;138;0,26;84;88;13;15;14;"0";"16";"0.178571428571429";"0.154761904761905";"0.140350877192982";"0";"Cypher";85;247,3;0,65;158,6;0,26;77;58;25;8;8;"2";"14";"0.103896103896104";"0.324675324675325";"0.164705882352941";"0.142857142857143";"Fade";20;164;0,6;78;0,27;11;15;4;0;5;"0";"2";"0";"0.363636363636364";"0.1";"0";"Jett";1022;242,2;0,73;"155.4";0,22;862;745;205;174;149;"18";"99";"0.201856148491879";"0.237819025522042";"0.0968688845401174";"0.181818181818182";"Kay/O";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Killjoy";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Neon";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Omen";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Phoenix";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Raze";232;235;0,73;147,1;0,15;177;162;61;37;33;"3";"12";"0.209039548022599";"0.344632768361582";"0.0517241379310345";"0.25";"Reyna";37;229,5;0,76;153,1;0,24;29;33;11;3;4;"0";"5";"0.103448275862069";"0.379310344827586";"0.135135135135135";"0";"Sage";23;257;0,7;166,4;0,26;21;18;7;1;0;"0";"1";"0.0476190476190476";"0.333333333333333";"0.0434782608695652";"0";"Skye";152;245,4;0,76;158,6;0,25;134;105;36;15;14;"2";"16";"0.111940298507463";"0.26865671641791";"0.105263157894737";"0.125";"Sova";93;229,8;0,85;156,4;0,24;72;52;41;8;3;"2";"12";"0.111111111111111";"0.569444444444444";"0.129032258064516";"0.166666666666667";"Viper";39;214,5;0,74;138,8;0,22;28;29;8;1;3;"0";"7";"0.0357142857142857";"0.285714285714286";"0.179487179487179";"0";"Yoru";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0"
"Suggest";"Astra";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Breach";646;212,5;0,82;133,6;0,38;496;393;267;43;41;"10";"64";"0.0866935483870968";"0.538306451612903";"0.0990712074303406";"0.15625";"Brimstone";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Chamber";112;322,3;0,78;202,2;0,41;127;63;14;30;13;"2";"5";"0.236220472440945";"0.110236220472441";"0.0446428571428571";"0.4";"Cypher";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Fade";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Jett";112;305,2;0,76;"183.3";0,34;115;75;21;28;17;"0";"4";"0.243478260869565";"0.182608695652174";"0.0357142857142857";"0";"Kay/O";192;259,8;0,78;175,6;0,3;173;121;78;17;15;"1";"16";"0.0982658959537572";"0.450867052023121";"0.0833333333333333";"0.0625";"Killjoy";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Neon";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Omen";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Phoenix";193;238,7;0,66;153,4;0,35;161;122;45;28;12;"5";"18";"0.173913043478261";"0.279503105590062";"0.0932642487046632";"0.277777777777778";"Raze";906;254,9;0,74;158,5;0,27;804;609;161;130;94;"10";"62";"0.161691542288557";"0.200248756218905";"0.0684326710816777";"0.161290322580645";"Reyna";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Sage";170;209,4;0,81;138;0,38;132;104;54;14;14;"3";"17";"0.106060606060606";"0.409090909090909";"0.1";"0.176470588235294";"Skye";409;202,7;0,75;124,5;0,41;311;259;69;40;31;"4";"32";"0.128617363344051";"0.221864951768489";"0.078239608801956";"0.125";"Sova";218;198,4;0;124,5;0,29;155;128;50;13;18;"6";"27";"0.0838709677419355";"0.32258064516129";"0.123853211009174";"0.222222222222222";"Viper";100;249,3;0,82;160,4;0,41;86;62;29;10;8;"2";"8";"0.116279069767442";"0.337209302325581";"0.08";"0.25";"Yoru";28;225;0,75;131;0,29;21;22;7;8;3;"0";"3";"0.380952380952381";"0.333333333333333";"0.107142857142857";"0"
"takej";"Astra";212;210;0,8;138,6;0,33;166;129;67;14;10;"4";"28";"0.0843373493975904";"0.403614457831325";"0.132075471698113";"0.142857142857143";"Breach";91;226,4;0;134,6;0,31;77;57;52;5;1;"1";"2";"0.0649350649350649";"0.675324675324675";"0.021978021978022";"0.5";"Brimstone";266;213,8;0,74;140,8;0,3;194;176;114;20;19;"6";"31";"0.103092783505155";"0.587628865979381";"0.116541353383459";"0.193548387096774";"Chamber";20;245;0,7;151,5;0,44;20;12;0;1;3;"1";"5";"0.05";"0";"0.25";"0.2";"Cypher";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Fade";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Jett";126;262,8;0;"161.8";0,23;111;80;28;19;18;"1";"9";"0.171171171171171";"0.252252252252252";"0.0714285714285714";"0.111111111111111";"Kay/O";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Killjoy";21;143;0,52;92,9;0,24;9;16;3;3;4;"1";"2";"0.333333333333333";"0.333333333333333";"0.0952380952380952";"0.5";"Neon";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Omen";14;221;0,43;136,6;0,43;9;14;2;2;3;"0";"3";"0.222222222222222";"0.222222222222222";"0.214285714285714";"0";"Phoenix";519;248,2;0;150,3;0,33;446;349;111;85;50;"5";"21";"0.190582959641256";"0.248878923766816";"0.0404624277456647";"0.238095238095238";"Raze";103;174,2;0,65;118,3;0,19;62;73;15;13;14;"1";"7";"0.209677419354839";"0.241935483870968";"0.0679611650485437";"0.142857142857143";"Reyna";1535;258,7;0,75;162;0,31;1411;1002;294;270;177;"14";"96";"0.191353649893692";"0.208362863217576";"0.0625407166123779";"0.145833333333333";"Sage";490;193,4;0,7;121;0,29;334;322;169;32;54;"8";"47";"0.0958083832335329";"0.505988023952096";"0.0959183673469388";"0.170212765957447";"Skye";422;194,5;0,7;123,8;0,34;294;276;106;29;28;"4";"30";"0.0986394557823129";"0.360544217687075";"0.0710900473933649";"0.133333333333333";"Sova";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Viper";115;246,3;0,77;156,7;0,32;98;76;37;12;9;"4";"10";"0.122448979591837";"0.377551020408163";"0.0869565217391304";"0.4";"Yoru";15;89;0,47;55,1;0,24;5;13;1;0;3;"0";"1";"0";"0.2";"0.0666666666666667";"0"
"xnfri";"Astra";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Breach";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Brimstone";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Chamber";287;213,1;0,7;147,7;0,33;224;179;33;29;27;"8";"49";"0.129464285714286";"0.147321428571429";"0.170731707317073";"0.163265306122449";"Cypher";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Fade";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Jett";270;224,3;0,73;"137.5";0,26;207;201;47;52;44;"3";"24";"0.251207729468599";"0.227053140096618";"0.0888888888888889";"0.125";"Kay/O";191;190,2;0,74;124,6;0,28;127;126;78;10;11;"6";"26";"0.078740157480315";"0.614173228346457";"0.136125654450262";"0.230769230769231";"Killjoy";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Neon";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Omen";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Phoenix";22;198;0,77;136;0,25;15;16;4;4;1;"1";"1";"0.266666666666667";"0.266666666666667";"0.0454545454545455";"1";"Raze";531;233,5;0,76;152,1;0,19;411;350;145;73;58;"6";"41";"0.177615571776156";"0.352798053527981";"0.0772128060263653";"0.146341463414634";"Reyna";98;228,5;0,69;146,6;0,25;75;76;31;17;11;"0";"6";"0.226666666666667";"0.413333333333333";"0.0612244897959184";"0";"Sage";23;147;0,74;107,9;0,26;13;12;8;2;1;"0";"2";"0.153846153846154";"0.615384615384615";"0.0869565217391304";"0";"Skye";450;186,6;0,73;123,2;0,32;293;285;141;28;29;"10";"55";"0.0955631399317406";"0.48122866894198";"0.122222222222222";"0.181818181818182";"Sova";162;174,5;0,75;121,4;0,23;98;100;46;7;6;"2";"28";"0.0714285714285714";"0.469387755102041";"0.172839506172839";"0.0714285714285714";"Viper";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Yoru";19;63;0,58;48,5;0,25;3;15;1;1;4;"0";"1";"0.333333333333333";"0.333333333333333";"0.0526315789473684";"0"
"stax";"Astra";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Breach";2745;211,9;0,79;136,2;0,32;2126;1599;1167;173;121;"48";"264";"0.0813734713076199";"0.548918156161806";"0.0961748633879781";"0.181818181818182";"Brimstone";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Chamber";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Cypher";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Fade";220;202;0,78;130,1;0,36;163;140;78;6;8;"11";"37";"0.0368098159509202";"0.478527607361963";"0.168181818181818";"0.297297297297297";"Jett";0;0;0;"0";0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Kay/O";416;187,7;0,77;118,1;0,29;276;262;220;17;23;"14";"47";"0.0615942028985507";"0.797101449275362";"0.112980769230769";"0.297872340425532";"Killjoy";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Neon";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Omen";53;205,7;0;115,5;0,28;42;29;27;3;1;"0";"2";"0.0714285714285714";"0.642857142857143";"0.0377358490566038";"0";"Phoenix";134;247,9;0,63;162,3;0,29;115;102;24;17;10;"1";"12";"0.147826086956522";"0.208695652173913";"0.0895522388059701";"0.0833333333333333";"Raze";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Reyna";20;192;0;100,7;0,22;14;11;3;2;3;"1";"2";"0.142857142857143";"0.214285714285714";"0.1";"0.5";"Sage";317;180,9;0,72;117,3;0,33;216;177;94;23;34;"7";"27";"0.106481481481481";"0.435185185185185";"0.0851735015772871";"0.259259259259259";"Skye";1353;203,9;0,74;129,1;0,37;1021;822;327;90;78;"25";"138";"0.0881488736532811";"0.320274240940255";"0.1019955654102";"0.181159420289855";"Sova";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Viper";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Yoru";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0"
"Zest";"Astra";21;165;0,81;97,1;0,19;12;16;6;1;2;"0";"2";"0.0833333333333333";"0.5";"0.0952380952380952";"0";"Breach";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Brimstone";75;245,3;0,87;155,2;0,32;68;42;38;7;5;"1";"3";"0.102941176470588";"0.558823529411765";"0.04";"0.333333333333333";"Chamber";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Cypher";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Fade";438;193,4;0,76;126,6;0,33;294;275;148;34;31;"7";"33";"0.115646258503401";"0.503401360544218";"0.0753424657534247";"0.212121212121212";"Jett";0;0;0;"0";0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Kay/O";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Killjoy";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Neon";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Omen";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Phoenix";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Raze";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Reyna";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Sage";783;222,3;0,74;136,6;0,27;600;510;244;109;81;"8";"49";"0.181666666666667";"0.406666666666667";"0.0625798212005109";"0.163265306122449";"Skye";174;180,9;0,67;123,2;0,28;113;120;49;14;25;"0";"9";"0.123893805309735";"0.433628318584071";"0.0517241379310345";"0";"Sova";3087;195,7;0,74;124,6;0,28;2096;1868;935;248;248;"56";"276";"0.118320610687023";"0.446087786259542";"0.0894071914480078";"0.202898550724638";"Viper";23;185;0,74;122,2;0,18;14;16;7;3;7;"0";"1";"0.214285714285714";"0.5";"0.0434782608695652";"0";"Yoru";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0"
"Rb";"Astra";39;152,5;0,67;106,2;0,24;20;20;14;2;3;"1";"5";"0.1";"0.7";"0.128205128205128";"0.2";"Breach";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Brimstone";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Chamber";118;200,2;0,67;136,6;0,32;87;81;12;17;10;"0";"14";"0.195402298850575";"0.137931034482759";"0.11864406779661";"0";"Cypher";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Fade";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Jett";2657;235,3;0,72;"140.5";0,23;2206;1694;354;545;435;"48";"205";"0.247053490480508";"0.160471441523119";"0.0771546857357922";"0.234146341463415";"Kay/O";305;206,1;0,74;132,4;0,28;210;214;121;37;41;"2";"14";"0.176190476190476";"0.576190476190476";"0.0459016393442623";"0.142857142857143";"Killjoy";118;174,7;0,66;116,9;0,24;67;80;24;6;9;"1";"11";"0.0895522388059701";"0.358208955223881";"0.0932203389830508";"0.0909090909090909";"Neon";301;245,7;0,73;148,8;0,22;262;214;52;60;66;"3";"11";"0.229007633587786";"0.198473282442748";"0.0365448504983389";"0.272727272727273";"Omen";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Phoenix";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Raze";838;269,8;0,77;165,2;0,21;761;542;171;173;111;"13";"62";"0.227332457293035";"0.224704336399474";"0.0739856801909308";"0.209677419354839";"Reyna";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Sage";259;175;0,72;111,5;0,31;162;178;79;20;28;"4";"15";"0.123456790123457";"0.487654320987654";"0.0579150579150579";"0.266666666666667";"Skye";155;201,9;0,82;128,9;0,3;117;83;41;11;8;"3";"14";"0.094017094017094";"0.35042735042735";"0.0903225806451613";"0.214285714285714";"Sova";392;193,1;0,8;125,7;0,28;268;220;125;25;21;"6";"38";"0.0932835820895522";"0.466417910447761";"0.0969387755102041";"0.157894736842105";"Viper";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Yoru";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0"
"MaKo";"Astra";975;216,8;0,81;141,7;0,28;760;572;394;98;64;"21";"119";"0.128947368421053";"0.518421052631579";"0.122051282051282";"0.176470588235294";"Breach";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Brimstone";215;211,1;0,8;141;0,23;156;134;101;11;24;"2";"14";"0.0705128205128205";"0.647435897435897";"0.0651162790697674";"0.142857142857143";"Chamber";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Cypher";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Fade";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Jett";1109;274,5;0,71;"163.3";0,23;1087;705;213;195;117;"27";"111";"0.179392824287029";"0.195952161913523";"0.100090171325518";"0.243243243243243";"Kay/O";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Killjoy";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Neon";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Omen";422;213,4;0,79;137,1;0,27;322;251;191;31;29;"7";"44";"0.0962732919254658";"0.593167701863354";"0.104265402843602";"0.159090909090909";"Phoenix";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Raze";80;236,5;0,78;141,2;0,14;65;48;18;14;10;"1";"7";"0.215384615384615";"0.276923076923077";"0.0875";"0.142857142857143";"Reyna";57;211,3;0;131,5;0,19;43;39;12;5;7;"2";"7";"0.116279069767442";"0.27906976744186";"0.12280701754386";"0.285714285714286";"Sage";149;192;0,73;122,4;0,22;106;101;37;8;15;"4";"17";"0.0754716981132075";"0.349056603773585";"0.114093959731544";"0.235294117647059";"Skye";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Sova";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Viper";1099;228,5;0,79;145,4;0,25;838;628;465;88;52;"24";"138";"0.105011933174224";"0.554892601431981";"0.125568698817106";"0.173913043478261";"Yoru";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0"
